ts,p0,p1,p2,p3
7.9096860,2.5374762,215.0577930,201.6580749,173.6063230
7.9435940,2.3397237,215.0779194,202.3068205,173.4452540
7.9755080,2.0501163,215.6341267,202.6206132,175.0463897
8.0213830,1.7054265,215.8016336,203.1732789,175.5186698
8.0543000,1.3418106,216.1311976,203.7044241,176.8033944
8.0892280,0.9918332,216.4706204,204.2177007,177.2906934
8.1191470,0.6738303,216.1037820,204.5868435,178.2846388
8.1520580,0.4001818,215.9170016,205.3471955,178.9879434
8.1809800,0.1771295,216.4510466,205.5373059,179.8122890
8.2129840,-0.0162363,216.1410193,205.4519215,180.7492990
8.2468930,-0.2174773,216.1320639,205.3581081,181.3634828
8.2768280,-0.4581064,215.5694258,204.9713647,180.7413870
8.3097390,-0.7638502,215.2039199,204.4176394,180.1967142
8.3416590,-1.1420496,215.3175263,204.2071547,179.2935385
8.3725750,-1.5755821,214.6215118,203.6915470,179.9806286
8.4204570,-2.0335485,214.7099167,203.6111400,179.6129620
8.4523710,-2.5442177,211.6394737,199.9147870,175.8062657
8.4852820,-3.1721796,211.5073457,199.7672625,174.7372674
8.5181940,-3.8574005,211.5020881,199.6636440,174.3837251
8.5471150,-4.4817823,211.1558231,198.6941422,173.5549896
8.5820660,-4.9907687,210.8765812,198.0007977,174.0436467
8.6179690,-5.3527613,210.3321516,197.5262575,173.3777975
8.6448960,-5.5336539,209.6543559,197.4024549,173.6944384
8.6778070,-5.5253659,209.1320288,196.4042576,173.7143318
8.7087240,-5.4368989,206.8242735,192.0436964,169.7701234
8.7406380,-5.3999723,206.7316648,192.4172736,170.9379424
8.7745460,-5.3841904,206.5371642,191.6460311,170.2536861
8.8184280,-5.2925789,206.2021245,191.7320373,170.2918128
8.8523360,-5.0721482,205.7596365,190.9852207,169.8267426
8.8872430,-4.7071331,205.9227566,190.8205255,169.9400099
8.9171610,-4.2033870,205.9082408,190.4535359,170.1616988
8.9490750,-3.6002083,205.1178988,189.1589494,169.7013619
8.9869720,-2.9571481,204.8240420,189.0688654,170.4240607
9.0129030,-2.3064518,204.2314692,188.3048341,169.7529858
9.0478080,-1.6673963,204.4607816,188.0916179,170.2284415
9.0767300,-1.0540964,204.2130966,187.6049760,170.2157788
9.1106390,-0.4953624,203.4400000,186.3007710,169.1879365
9.1415550,-0.0349335,203.5904397,185.6168773,168.0705003
9.1704770,0.3088755,202.8438890,184.6188401,166.8616794
9.2203420,0.5440950,202.4529668,184.0510471,166.2927574
9.2562550,0.6868877,201.7922464,182.9211062,165.4470648
9.2831820,0.7429876,200.7647804,181.7510135,163.1075169
9.3191190,0.7106930,200.2887086,180.4355984,162.0429344
9.3490390,0.6019402,199.5347754,179.5024126,160.4953411
9.3809530,0.4586321,199.3006037,179.0804125,159.9456649
9.4138700,0.3384719,198.8546810,178.4766363,159.6277548
9.4447860,0.2849613,198.3518992,178.1543215,159.3273461
9.4747060,0.3150920,198.0451190,177.3663432,158.7559924
9.5086140,0.4279790,197.6273005,177.2828258,158.4617480
9.5415250,0.6980648,200.3078763,180.6934433,160.9243711
9.5754340,1.2126918,198.8486676,179.7479423,160.5247331
9.6203130,1.9113172,199.9449251,180.4168885,160.7731281
9.6542210,2.6720316,199.3528399,180.0299975,159.8355872
9.6851370,3.3907946,199.2102159,180.0416944,160.9901163
9.7210400,4.0035004,199.4807000,180.9163527,162.0993888
9.7489650,4.5074958,200.5398857,181.5711117,162.8628957
9.7828740,4.9135212,200.8888414,182.3547670,164.0275331
9.8124000,5.2804874,205.0517391,185.6617927,167.7722789
9.8465550,5.6780690,205.3204201,185.7722107,168.0802342
9.8804690,6.0553419,205.5328256,185.9314601,168.0505952
9.9083930,6.3049655,205.3477309,186.0629928,167.8805852
9.9432990,6.3747816,205.7770515,186.7882696,168.6600124
9.9758150,6.2551726,205.8360279,186.8033395,168.4346674
10.0206820,5.9393263,205.9090429,186.6637051,168.1929979
10.0545910,5.4350567,205.9214261,186.9887877,168.2055011
10.0855070,4.7854893,205.8192846,187.1583141,167.8174252
10.1154450,4.0489570,205.7282590,187.5766449,167.3429176
10.1493530,3.2778701,205.3108381,187.5713910,166.6931988
10.1812730,2.5036930,205.3908795,187.5180914,166.1902456
10.2101950,1.7422881,205.6461416,187.3920014,166.2322058
10.2470950,0.9967941,204.6948619,186.7948349,165.2379196
10.2750200,0.2737299,205.1248017,187.0984488,165.8880663
10.3099250,-0.3986862,204.8039602,186.9362960,165.8746528
10.3408420,-1.0047020,204.6750609,186.5407528,165.7808466
10.3727560,-1.5380481,204.5646216,186.8518585,165.2901030
